CustomerID,Frequency,Monetary,CustomerLifetimeDays
10310,7,16514.96,265
10311,6,453.32,277
10312,1,283.55,67
10313,2,307.07,142
10314,1,482.17,307
10315,2,352.69,281
10316,2,1011.98,371
10317,1,1631.04,293
10318,1,679.92,99
10319,1,336.41,207
10320,1,2185.75,365
10321,2,2129.83,275
10322,1,167.61,168
10323,3,462.39,273
10324,2,654.37,3
10325,1,417.72,203
10326,4,1558.85,199
10327,5,189.49,65
10328,7,84.15,252
10329,3,1189.0,281
10330,1,1237.78,28
10331,2,559.69,147
10332,1,326.17,357
10333,2,87.96,358
10334,4,151.84,371
10335,2,196.4,49
10336,2,650.0,370
10337,8,176.85,365
10338,2,228.92,368
10339,1,1603.82,10
10340,7,169.82,184
10341,1,1824.35,358
10342,3,316.07,371
10343,1,1389.71,259
10345,2,223.36,335
10346,1,149.58,95
10347,1,3514.53,30
10348,4,1019.64,184
10349,4,19764.47,245
10350,3,348.12,336
10351,4,843.0,263
10352,2,139.08,270
10353,1,665.81,266
10354,1,689.28,351
10355,5,2063.31,318
10356,2,4051.34,317
10357,4,440.16,262
10358,4,5424.62,39
10359,2,357.04,80
10361,1,309.37,368
10362,1,953.69,55
10363,5,316.26,281
10364,2,1787.46,269
10365,1,68.06,224
10366,2,311.21,315
10367,1,971.76,315
10368,1,286.61,32
10369,1,125.19,364
10370,5,973.95,311
10371,5,136.0,29
10372,8,2373.75,331
10373,3,460.51,214
10374,1,432.02,372
10375,9,403.49,52
10376,5,3120.65,371
10377,2,223.94,280
10378,5,1264.16,137
10379,1,323.01,332
10380,2,725.3,241
10381,3,4481.32,22
10382,1,3440.3,266
10383,2,821.43,28
10385,20,2862.48,32
10386,3,101.37,188
10387,1,79.93,263
10388,4,161200.61,286
10389,6,353.91,255
10390,2,296.82,314
10391,1,389.04,266
10392,4,122.75,9
10393,2,611.27,231
10394,7,4460.26,241
10395,8,255.63,18
10396,6,4460.88,331
10397,2,206.54,184
10398,1,2780.25,372
10399,1,706.14,293
10400,6,250.07,150
10401,2,1143.41,331
10402,1,15929.88,358
10403,1,976.63,371
10404,2,126.08,55
10405,9,1918.02,268
10406,1,16587.81,255
10408,4,1121.54,80
10409,5,450.54,276
10410,5,540.27,265
10411,8,912.95,365
10412,1,233.78,217
10413,1,155.28,372
10414,4,471.74,274
10415,1,974.11,21
10417,9,436.97,255
10418,2,110.58,76
10419,1,635.05,52
10420,1,538.5,34
10421,2,180.56,365
10422,1,1024.1,370
10423,2,387.31,260
10424,2,23.23,13
10425,1,317.19,94
10426,1,101.35,205
10427,7,560.57,289
10428,8,2423.13,333
10429,2,215.06,294
10430,2,728.29,287
10431,2,738.89,133
10432,5,1445.01,358
10433,2,1529.21,185
10434,3,3237.27,35
10435,5,1570.97,358
10436,1,339.4,368
10437,9,700.48,241
10438,5,4193.03,211
10439,8,467.16,154
10440,1,723.26,87
10441,3,1228.91,318
10442,1,109.05,259
10443,3,1406.29,372
10444,7,43.4,308
10445,1,743.36,275
10446,2,464.22,63
10447,5,352.7,94
10448,1,1100.1,56
10449,1,488.03,290
10450,1,1232.37,365
10451,1,745.8,77
10452,2,222.67,216
10453,1,9741.31,104
10454,1,1872.46,216
10455,1,504.99,168
10456,2,4955.25,325
10457,3,150.18,371
10458,3,839.24,325
10459,1,1275.44,368
10460,1,5481.21,274
10461,1,344.06,293
10462,5,571.09,325
10463,1,1720.71,182
10464,1,150.92,309
10465,1,20612.2,366
10466,2,1385.44,332
10467,6,471.75,365
10468,2,521.63,30
10469,1,1995.75,269
10470,6,5287.48,18
10471,2,223.36,307
10472,2,112.76,224
10473,2,1105.08,195
10474,3,1583.76,338
10476,1,1461.17,308
10477,1,363.66,77
10478,3,169.94,203
10479,2,143.31,34
10480,1,683.63,289
10481,1,440.0,224
10482,5,650.43,370
10485,5,145.19,244
10486,5,589.0,77
10487,1,240.74,295
10488,4,215.7,241
10489,1,164.63,62
10490,1,1837.96,16
10491,4,333.27,35
10492,2,964.49,189
10493,4,892.96,359
10494,2,799.42,77
10495,2,708.16,114
10496,2,974.25,135
10497,3,168.3,84
10498,1,775.13,88
10499,10,1422.03,34
10500,2,1412.53,62
10501,5,2239.28,329
10502,1,41.72,316
10503,7,2032.23,337
10504,1,271.15,284
10505,4,188.6,71
10506,1,153.9,274
10507,1,673.25,322
10508,1,146.86,41
10509,2,447.36,74
10512,2,247.14,53
10513,3,197.06,158
10514,1,393.99,317
10515,1,788.21,70
10516,10,149.72,23
10517,1,300.15,356
10518,1,170.02,265
10519,1,59.89,39
10520,1,1314.48,245
10521,1,49.8,27
10522,4,172.88,353
10523,9,305.98,260
10524,2,784.48,129
10525,4,512.01,366
10526,1,156.74,312
10527,7,3213.55,304
10528,1,653.33,51
10529,1,1046.84,371
10530,1,1151.52,247
10531,6,896.73,260
10532,6,981.65,170
10533,6,656.69,74
10534,3,1062.82,370
10535,3,398.65,279
10536,1,1980.43,266
10537,3,316.77,282
10538,1,106.44,363
10539,3,538.79,34
10540,1,704.74,70
10541,1,2207.36,25
10543,1,12615.57,275
10544,2,10484.36,364
10545,3,1340.29,368
10546,6,1416.04,43
10547,3,311.67,360
10548,6,2424.49,356
10549,4,605.09,10
10550,1,867.57,370
10551,2,2366.2,276
10552,5,11381.25,238
10553,1,173.07,231
10554,7,1516.08,210
10555,1,329.68,368
10556,2,133.31,356
10557,1,386.05,240
10558,2,1244.57,248
10559,5,257.22,60
10560,4,168.28,112
10561,2,2201.1,214
10562,4,50.82,175
10563,8,581.29,77
10564,2,710.29,233
10565,1,3809.86,308
10566,2,2200.64,77
10567,8,370.02,364
10568,6,234.18,59
10569,1,275.14,153
10571,1,3623.52,106
10572,10,389.71,211
10573,1,1687.98,226
10574,8,119.84,77
10575,1,993.14,315
10576,14,2043.75,234
10577,1,678.01,36
10578,1,207.96,280
10579,20,6018.39,77
10580,1,2215.48,29
10581,2,1676.19,277
10582,6,1214.44,265
10584,6,1563.94,112
10585,2,901.2,246
10586,1,422.76,259
10587,4,3733.68,39
10588,1,2055.55,286
10589,1,183.62,259
10590,1,19855.8,311
10591,2,2425.35,4
10592,2,501.03,241
10593,8,145.01,309
10594,1,2808.02,50
10595,3,412.02,304
10596,4,268.73,188
10597,2,323.9,353
10599,7,139.26,265
10600,9,8341.12,260
10601,2,1126.46,13
10602,1,408.87,297
10604,4,69.37,318
10605,2,5089.56,211
10606,4,2552.38,100
10607,2,304.25,69
10609,2,16219.75,367
10610,4,791.13,260
10611,4,984.42,162
10612,2,410.84,364
10613,6,874.7,260
10614,9,1089.4,367
10615,1,2005.36,364
10616,5,262.86,357
10617,2,677.09,51
10618,2,298.25,85
10619,6,2704.77,365
10620,1,1931.36,316
10621,2,3581.9,363
10622,8,206.04,105
10623,2,92.14,335
10624,2,498.3,365
10625,4,4157.85,53
10626,4,13823.5,356
10627,1,428.79,266
10628,5,154.58,273
10629,3,386.24,332
10630,1,411.52,106
10631,1,807.25,360
10632,1,4847.22,371
10633,1,562.27,217
10635,8,292.44,224
10636,2,290.42,294
10637,2,2005.21,260
10638,2,122.71,372
10639,3,179.0,276
10640,6,1905.76,372
10641,10,5007.08,298
10642,1,3989.45,43
10643,3,508.8,273
10644,1,3738.97,370
10645,2,1502.25,357
10646,8,1058.09,364
10647,1,423.74,368
10648,6,414.09,366
10649,1,10247.06,367
10650,3,400.62,122
10651,11,12699.7,357
10652,1,1176.85,331
10653,10,814.82,316
10654,6,58.15,62
10655,2,1058.37,361
10656,3,912.02,317
10657,2,771.31,371
10658,7,5066.0,276
10659,1,199.81,70
10660,10,44255.26,365
10661,5,121.14,367
10662,7,251.75,240
10663,6,3825.28,372
10664,2,1105.3,371
10665,3,1879.51,370
10666,1,1619.9,366
10667,1,1662.07,35
10668,3,289.94,50
10669,5,836.97,24
10670,1,1035.75,66
10671,1,1019.25,350
10672,3,675.8,368
10673,2,13208.77,24
10674,1,125.58,76
10675,4,383.15,338
10676,7,1027.76,357
10677,2,225.59,111
10678,2,1700.36,368
10680,7,424.15,182
10681,16,10502.61,266
10682,7,2293.71,274
10683,2,2784.65,283
10684,2,1118.82,318
10685,1,204.14,170
10686,1,3709.45,171
10687,1,1579.02,241
10688,6,4738.64,71
10689,5,1935.68,226
10690,1,1095.89,317
10691,5,110.38,332
10692,1,586.58,112
10693,1,374.11,57
10695,7,3241.25,232
10696,9,267.18,335
10697,2,4.66,171
10698,2,1715.27,309
10699,1,1945.94,312
10700,1,639.28,63
10701,3,4094.46,263
10702,2,4118.82,93
10703,2,484.93,225
10704,2,221.49,356
10705,2,385.71,205
10706,2,836.15,57
10707,5,414.78,367
10709,2,2865.51,22
10710,4,354.1,308
10712,1,4609.12,59
10713,3,345.92,114
10714,2,1591.64,251
10715,1,1257.84,272
10717,2,2373.01,333
10718,2,777.54,18
10719,2,2293.36,84
10720,10,363.59,301
10721,1,71.85,63
10722,1,1194.85,241
10723,6,865.78,84
10725,2,6346.23,210
10726,4,1841.2,317
10727,3,930.79,170
10728,5,6369.21,13
10729,2,2182.11,248
10730,2,1013.74,360
10731,2,3516.9,371
10732,2,1025.35,70
10733,2,720.03,60
10734,16,9011.56,372
10735,1,339.9,197
10736,1,245.9,266
10737,1,26634.63,296
10738,1,118.76,371
10739,3,1445.2,368
10740,2,56495.55,176
10741,5,367.21,371
10742,2,1836.07,312
10743,1,69.56,18
10744,2,3636.21,22
10745,1,370.98,265
10746,1,333.94,370
10747,1,1434.33,366
10748,4,301.25,18
10749,2,2549.96,321
10750,6,3638.75,309
10751,1,3776.02,357
10752,10,612.02,372
10753,4,592.94,357
10754,3,1692.94,255
10755,2,1388.83,191
10756,4,1237.16,365
10757,3,2001.97,85
10758,1,1693.67,371
10759,1,400.65,171
10760,6,500.73,282
10761,4,139078.96,204
10762,1,101.12,284
10763,1,361.29,372
10764,15,3464.91,210
10765,2,2228.24,370
10767,3,745.06,219
10768,4,494.22,191
10769,2,174.38,262
10770,1,919.7,371
10771,10,1131.67,365
10772,1,110.95,331
10774,2,387.71,191
10775,3,1494.87,115
10776,1,1531.47,122
10777,1,440.0,77
10778,2,301.17,371
10779,1,13927.44,366
10780,9,3984.26,254
10781,1,314.44,295
10782,6,36.44,272
10784,3,199.82,36
10785,2,1473.57,364
10786,26,6486.85,352
10787,1,415.55,97
10788,3,568.69,371
10789,3,5446.38,133
10790,1,132.86,181
10791,5,897.96,329
10792,4,256.33,54
10793,2,378.3,128
10795,2,765.33,150
10796,3,160.98,29
10797,6,89.19,64
10798,1,1535.76,255
10799,1,1269.91,252
10800,4,144.72,253
10802,11,4509.0,265
10803,10,1489.12,371
10804,39,7838.98,259
10805,1,1575.08,370
10806,3,122769.86,251
10807,2,49.95,24
10808,1,720.05,29
10809,2,5665.38,248
10810,7,613.45,217
10811,11,16473.34,359
10813,1,855.21,11
10814,2,1255.17,215
10815,4,6449.37,372
10816,1,10233.71,206
10817,5,982.12,351
10818,5,7760.4,72
10819,2,1020.73,360
10820,10,1760.67,48
10821,1,364.88,169
10822,3,1740.51,132
10823,4,255.11,357
10824,1,924.73,218
10825,1,2578.26,211
10826,3,1079.38,37
10827,2,2043.38,357
10828,1,1416.31,127
10829,1,330.15,120
10830,3,240.7,200
10831,16,4434.09,77
10832,3,595.32,259
10833,1,833.88,172
10834,2,5895.83,235
10835,9,318.49,370
10836,2,1313.43,308
10837,1,604.6,95
10838,2,528.19,226
10839,2,137.34,366
10840,2,2124.97,263
10841,1,865.57,274
10842,2,248.42,361
10843,2,56.35,137
10844,8,854.95,280
10845,1,689.81,335
10846,4,413.11,357
10847,10,2284.39,28
10848,6,579.14,287
10849,2,4286.02,212
10850,4,352.19,295
10851,3,3099.89,372
10852,3,400.6,371
10853,2,59.75,367
10854,2,1324.63,366
10855,4,547.33,316
10856,1,8258.92,64
10857,1,2209.69,163
10858,3,869.57,327
10859,2,298.45,178
10861,3,96.11,333
10862,7,1496.94,275
10863,1,805.31,366
10864,4,97.99,200
10865,12,7202.27,247
10866,3,430.59,312
10867,2,1785.03,78
10868,3,6739.14,91
10869,3,965.07,84
10870,5,2268.47,331
10871,1,6685.07,287
10872,2,2354.47,259
10873,5,79.09,17
10875,6,472.54,332
10876,1,7084.73,368
10877,1,688.71,367
10878,4,90.94,267
10879,2,285.62,276
10880,4,4109.57,372
10881,2,1385.98,231
10882,3,250.04,74
10883,2,505.96,199
10884,4,184.23,357
10885,2,401.52,129
10886,1,6484.86,2
10887,1,33692.84,255
10888,1,215.72,356
10889,1,234.5,216
10890,4,2933.89,112
10891,10,106.09,153
10892,1,772.9,20
10893,1,5480.53,357
10894,2,211.87,203
10895,5,300.85,88
10897,8,584.49,273
10898,1,446.91,91
10899,1,2895.59,49
10900,2,303.34,283
10901,2,668.99,233
10902,5,10672.7,246
10903,3,1886.29,266
10904,1,8136.0,361
10905,2,1098.46,274
10906,5,1322.88,51
10907,2,5312.66,113
10908,1,1351.66,127
10909,1,582.71,199
10910,2,765.48,62
10911,2,205.36,338
10912,2,171.02,165
10913,6,590.0,331
10914,3,353.96,365
10915,1,2867.37,186
10916,10,2549.26,282
10917,3,142.45,265
10918,1,1518.77,266
10919,1,168.0,247
10920,1,8850.66,368
10921,5,380.63,274
10922,2,1749.09,276
10923,2,112.77,37
10924,1,657.35,308
10925,3,220.27,361
10926,2,640.19,39
10927,1,942.27,361
10928,6,6895.9,265
10930,5,172.28,358
10931,1,1714.66,358
10932,4,93.89,287
10933,4,1041.52,235
10934,1,2370.9,58
10935,2,1487.0,316
10936,1,155.81,366
10937,1,489.6,77
10938,1,244.8,49
10939,2,216.89,247
10940,2,226.08,276
10941,15,3453.02,360
10942,1,183.82,367
10943,1,1406.11,275
10944,3,722.1,350
10945,2,1617.74,326
10946,7,180.41,210
10947,1,72564.69,69
10948,6,944.13,144
10949,8,517.54,361
10950,2,187.84,41
10951,4,4929.7,363
10952,10,922.44,239
10953,1,178.26,132
10955,3,3190.18,168
10956,1,833.95,368
10957,1,157.46,365
10958,15,4757.22,370
10959,1,152.94,363
10960,3,932.97,300
10961,8,3543.98,191
10962,1,4331.73,119
10963,2,341.68,326
10964,3,224.42,239
10966,5,1843.25,57
10967,2,379.79,333
10968,1,1387.93,76
10969,2,2685.89,309
10970,5,223.26,367
10971,2,248.04,50
10972,2,897.73,70
10973,8,257.21,280
10974,1,592.91,215
10975,1,704.36,350
10976,5,266.45,238
10977,2,53.46,280
10978,1,233.92,261
10979,3,627.09,69
10980,2,6911.5,154
10981,1,848.35,312
10982,2,107.77,84
10983,2,689.74,372
10984,3,4543.22,310
10985,4,424.65,78
10986,6,35.4,281
10987,1,207.14,49
10988,2,96.73,314
10989,1,398.99,244
10990,1,127.86,232
10991,1,1063.92,50
10992,3,384.04,280
10993,1,781.62,368
10994,2,1286.5,85
10995,1,7806.99,365
10996,1,906.26,311
10997,3,781.3,212
10998,1,114.28,311
10999,5,162.0,278
11000,2,424.17,257
11001,1,233.46,312
11002,1,452.86,71
11003,3,372.18,260
11004,2,1331.32,24
11006,3,2255.36,186
11007,19,3712.44,63
11008,6,922.44,261
11009,1,3350.78,312
11010,1,265.79,266
11011,5,10436.54,129
11012,2,598.61,302
11013,15,2680.79,309
11014,2,1519.82,24
11015,3,585.51,20
11016,3,1641.15,237
11017,1,599.65,27
11018,4,1507.51,111
11019,1,2129.03,234
11020,1,107.06,211
11021,4,157.16,364
11023,1,378.09,350
11024,5,349.46,9
11026,1,775.6,310
11027,9,412.02,372
11028,3,470.29,352
11029,3,322.9,193
11030,1,1292.73,45
11031,1,2071.95,153
11032,1,2925.06,100
11033,1,6468.23,22
11034,1,1771.5,35
11035,1,1440.86,204
11036,1,1373.78,321
11037,4,205.44,180
11038,1,1163.45,140
11039,2,1341.63,149
11040,1,807.24,335
11041,5,2818.36,370
11042,3,112.83,368
11043,3,1797.51,115
11044,3,122.53,368
11046,5,5579.84,143
11047,5,584.15,371
11048,8,590.31,370
11049,6,602.05,296
11050,1,4747.75,277
11051,1,487.88,371
11052,4,251.83,363
11053,4,9047.75,64
11054,3,763.59,368
11055,2,810.58,365
11056,3,2327.39,42
11057,4,3210.7,323
11058,2,1406.0,259
11059,1,332.66,219
11060,3,628.66,221
11061,5,618.53,290
11062,2,348.94,52
11063,4,101.8,366
11064,1,1383.86,359
11065,4,502.94,368
11066,4,364.56,226
11067,3,13600.06,48
11068,1,1748.32,58
11069,2,707.05,306
11070,6,3146.29,63
11071,2,604.63,231
11072,4,65.08,356
11073,5,887.54,80
11074,11,2013.32,279
11075,2,5720.68,368
11076,7,494.41,74
11077,1,572.42,99
11078,1,663.89,224
11079,2,2816.31,252
11080,3,436.17,367
11081,11,2176.8,42
11082,9,922.52,127
11083,4,133.46,315
11084,2,315.06,240
11085,2,776.45,251
11086,2,4311.32,372
11087,1,1193.79,28
11088,2,134.99,225
11089,5,317.2,202
11090,1,179.08,101
11091,1,194.62,309
11092,3,437.79,290
11093,5,158.04,361
11094,1,446.04,28
11095,1,2031.05,38
11096,4,350.7,225
11098,3,337.02,368
11099,2,3763.39,304
11100,1,356.9,259
11101,7,2943.62,217
11102,1,118.05,372
11103,3,90.42,302
11104,4,2084.29,149
11105,4,758.97,20
11106,4,1083.57,332
11107,3,361.37,317
11108,3,170.56,216
11109,1,96.87,66
11110,3,1625.72,235
11111,1,849.77,315
11112,7,90.6,293
11113,1,4206.01,308
11114,7,3681.48,276
11115,1,165.0,30
11116,4,207.8,100
11117,3,5319.04,10
11118,1,1521.88,23
11119,1,3517.12,265
11120,1,363.7,367
11121,1,97.99,86
11122,4,867.58,335
11123,14,2091.09,274
11124,1,2684.88,326
11125,2,1768.25,59
11126,3,380.57,85
11127,1,161.11,65
11128,2,1494.9,256
11129,2,372.0,265
11130,2,684.41,203
11131,4,1174.88,357
11133,1,232.6,263
11134,3,5080.79,62
11135,1,370.49,237
11136,10,932.89,43
11137,1,1392.37,182
11138,1,449.46,172
11139,10,161.01,369
11140,1,2665.24,242
11141,8,927.93,331
11142,3,2548.37,335
11143,1,1383.74,24
11144,6,191.45,370
11146,2,345.62,74
11147,1,668.33,233
11148,1,1637.44,78
11149,8,543.04,280
11150,1,107.52,203
11151,3,281.52,370
11152,1,417.58,127
11153,1,380.51,365
11154,5,866.47,301
11155,1,1286.55,316
11156,2,1791.22,141
11157,2,277.06,363
11158,1,158.83,360
11159,2,1172.89,284
11160,1,567.16,367
11161,3,328.37,218
11162,2,846.73,63
11164,2,1867.36,280
11165,4,156.55,190
11166,4,228.09,94
11167,1,973.86,354
11168,1,3625.43,367
11169,8,2005.0,265
11170,5,412.27,371
11171,4,485.14,231
11172,1,775.68,8
11173,2,483.42,371
11174,2,35.24,238
11175,2,1474.52,39
11176,1,322.18,243
11177,2,1177.83,371
11178,7,131.69,368
11181,3,574.07,76
11182,2,370.93,368
11183,1,47.81,181
11184,1,588.19,105
11185,1,365.87,233
11186,4,294.23,192
11187,1,876.0,371
11189,2,1217.79,317
11190,2,131.91,115
11191,7,2241.41,361
11193,6,1315.41,72
11194,2,309.32,85
11195,1,786.6,368
11196,2,971.74,370
11197,4,9036.62,356
11198,3,3643.74,29
11199,2,74.4,296
11200,5,2982.93,371
11201,1,382.57,372
11202,1,3626.2,283
11204,1,711.83,240
11205,3,251.61,205
11206,1,177.08,267
11207,4,1046.73,81
11208,2,885.1,58
11209,2,318.68,200
11210,9,17653.57,73
11211,4,176.14,358
11212,2,1327.96,262
11213,8,250.02,196
11214,1,1219.89,289
11215,2,1895.65,49
11216,2,507.06,35
11217,2,653.37,45
11218,1,7371.87,115
11220,10,1708.18,235
11221,3,686.28,209
11222,1,277.93,364
11223,6,2339.66,315
11224,1,195.25,224
11225,2,243.85,367
11227,1,322.08,158
11228,5,307.84,335
11231,1,720.76,251
11232,2,712.85,238
11233,1,957.22,71
11234,3,1098.74,200
11235,2,398.84,367
11236,5,866.87,29
11237,21,4082.42,318
11238,1,754.66,365
11239,1,178.96,95
11240,2,1071.52,86
11241,1,746.47,199
11242,1,1295.93,264
11243,1,524.15,242
11244,5,514.84,97
11245,4,309.6,206
11246,3,6911.66,210
11247,1,1931.84,217
11248,1,177.32,59
11249,5,2337.68,361
11250,2,176.75,214
11251,3,154.88,372
11252,1,2011.07,16
11253,2,1231.41,372
11254,2,542.4,198
11256,4,887.42,183
11257,2,360.99,273
11258,1,276.44,360
11259,1,416.19,114
11260,7,706.64,77
11261,1,1914.05,45
11262,1,135.97,41
11263,8,709.5,255
11264,1,2779.67,364
11265,1,2095.29,367
11266,2,142.48,29
11267,1,2240.99,261
11269,1,243.39,185
11272,1,948.03,71
11273,2,1131.93,231
11274,2,1158.31,72
11275,2,1686.62,318
11276,3,717.22,41
11277,2,351.28,32
11278,5,113.25,179
11279,2,188.0,62
11280,2,2862.13,309
11281,1,752.11,254
11282,1,207.8,275
11283,1,695.49,362
11284,2,1385.82,253
11285,3,697.8,365
11286,1,5655.98,252
11287,11,1570.24,367
11288,1,2974.72,283
11289,1,157.09,217
11290,2,1937.45,294
11291,2,657.88,371
11292,1,2620.74,203
11293,6,126.14,142
11294,2,330.56,45
11295,1,800.4,168
11296,1,1619.68,79
11297,3,720.31,21
11298,2,251.94,303
11299,4,2883.77,366
11300,9,106.7,85
11301,1,2158.5,51
11302,2,455.66,164
11303,1,76.5,308
11304,1,13171.99,283
